Unnamed: 0,Unnamed: 0.1,open,high,low,adjclose,amount,volume,str07,pct_index_300,pct_vol_300,adjclose_2,true_adjclose_2,buy_profit,sell_profit
61,2017-02-17,24.0,24.35,23.69,23.71,853864640.0,35575002,65536,-0.5664166373625656,5.8397223963487335,24.073723,24.56,0.3637228393554679,0.0
65,2017-02-23,24.2,24.47,24.11,24.27,595987584.0,24552943,65536,-0.4710925679702882,-3.1898383436335767,23.807047,23.950000000000003,0.0,0.4629531097412105
66,2017-02-24,24.28,24.42,24.06,24.29,529317152.0,21864194,65536,0.01525917565901036,-4.019835772526471,23.689178,24.48,-0.6008215332031241,0.0
79,2017-03-15,23.72,23.94,23.7,23.85,309482976.0,12988607,65536,0.2010593949703265,2.6297931615032466,23.32078,24.05,-0.5292201995849624,0.0
82,2017-03-20,24.06,24.46,24.05,24.29,574084416.0,23653561,65536,0.1102788604130822,-14.47752583090487,23.379223,23.73,0.0,0.9107771301269523
84,2017-03-22,24.02,24.04,23.69,23.73,537702528.0,22572872,65536,-0.4702352618748739,19.642526886559946,23.675053,23.87,-0.0549473571777348,0.0
94,2017-04-07,23.77,23.98,23.71,23.83,456594176.0,19161147,65536,0.09703902904056873,2.5782534506641586,23.628998,23.74,0.0,0.2010021972656233
95,2017-04-10,23.8,23.81,23.53,23.59,443683296.0,18771515,65536,-0.35025273919249145,1.136317337224679,23.389801,23.47,0.0,0.20019897460937486
99,2017-04-14,23.36,23.41,23.08,23.09,318860384.0,13745996,65536,-0.7986752291176513,4.225410365679383,22.826906,22.57,0.0,0.26309379577636705
107,2017-04-26,22.93,23.11,22.82,22.88,310618720.0,13527304,65536,0.12234922129514825,18.993805690500444,23.237755,22.69,0.0,-0.35775482177734474
108,2017-04-27,22.77,22.78,22.45,22.73,341441760.0,15102852,65536,0.044700131778308005,10.14685818957577,23.07118,22.35,0.0,-0.34118034362792926
109,2017-04-28,22.64,22.73,22.56,22.69,217327504.0,9598042,65536,-0.2022212422244873,-17.572060632566878,22.829832,22.49,0.0,-0.1398320770263659
